Input,Matched,Weight,ENERCJ Energie (Kilojoule) [kJ/100g],ENERCC Energie (Kilokalorien) [kcal/100g],WATER Wasser [g/100g],"PROT625 Protein (Nx6,25) [g/100g]",FAT Fett [g/100g],"CHO Kohlenhydrate, verfügbar [g/100g]","FIBT Ballaststoffe, gesamt [g/100g]",ALC Alkohol (Ethanol) [g/100g],"OA Organische Säuren, gesamt [g/100g]",ASH Rohasche [g/100g],"VITA Vitamin A, Retinol-Äquivalent (RE) [µg/100g]","VITAA Vitamin A, Retinol-Aktivitäts-Äquivalent (RAE) [µg/100g]",RETOL Retinol [µg/100g],CARTB Beta‑Carotin [µg/100g],"CAROTPAXB Carotinoide, außer Beta-Carotin [µg/100g]",VITD Vitamin D [µg/100g],CHOCAL Vitamin D3 (Cholecalciferol) [µg/100g],ERGCAL Vitamin D2 (Ergocalciferol) [µg/100g],VITE Vitamin E (Alpha-Tocopherol) [mg/100g],TOCPHA Alpha‑Tocopherol [mg/100g],TOCPHB Beta-Tocopherol [mg/100g],TOCPHG Gamma-Tocopherol [mg/100g],TOCPHD Delta-Tocopherol [mg/100g],TOCTRA Alpha-Tocotrienol [mg/100g],VITK Vitamin K [µg/100g],VITK1 Vitamin K1 (Phyllochinon) [µg/100g],VITK2 Vitamin K2 (Menachinone) [µg/100g],THIA Vitamin B1 (Thiamin) [mg/100g],RIBF Vitamin B2 (Riboflavin) [mg/100g],NIAEQ Niacin-Äquivalent [mg/100g],NIA Niacin [mg/100g],PANTAC Pantothensäure [mg/100g],VITB6 Vitamin B6 [µg/100g],BIOT Biotin [µg/100g],FOL Folat-Äquivalent [µg/100g],FOLFD Folat [µg/100g],"FOLAC Folsäure, synthetisch [µg/100g]",VITB12 Vitamin B12 (Cobalamine) [µg/100g],VITC Vitamin C [mg/100g],NACL Salz (Natriumchlorid) [g/100g],NA Natrium [mg/100g],CLD Chlorid [mg/100g],K Kalium [mg/100g],CA Calcium [mg/100g],MG Magnesium [mg/100g],P Phosphor [mg/100g],S Schwefel [mg/100g],FE Eisen [mg/100g],ZN Zink [mg/100g],ID Iodid [µg/100g],CU Kupfer [µg/100g],MN Mangan [µg/100g],FD Fluorid [µg/100g],CR Chrom [µg/100g],MO Molybdän [µg/100g],ACEAC Essigsäure [g/100g],CITAC Zitronensäure [g/100g],LACAC Milchsäure [g/100g],MALAC Äpfelsäure [g/100g],TARAC Weinsäure [g/100g],"POLYL Zuckeralkohole, gesamt [g/100g]",MANTL Mannit [g/100g],SORTL Sorbit [g/100g],XYLTL Xylit [g/100g],"MNSAC Monosaccharide, gesamt [g/100g]",GLUS Glucose [g/100g],FRUS Fructose [g/100g],GALS Galactose [g/100g],"DISAC Disaccharide, gesamt [g/100g]",SUCS Saccharose [g/100g],MALS Maltose [g/100g],LACS Lactose [g/100g],"SUGAR Zucker (Mono- und Disaccharide), gesamt [g/100g]","OLSAC Oligosaccharide, verfügbar [g/100g]","STARCH Stärke (Stärke, Glykogen, Dextrine) [g/100g]","FIBLMW Ballaststoffe, niedermolekular [g/100g]","FIBHMW Ballaststoffe, hochmolekular [g/100g]","FIBINS Ballaststoffe, wasserunlöslich [g/100g]","FIBSOL Ballaststoffe, wasserlöslich [g/100g]","FIBHMWS Ballaststoffe, hochmolekular, wasserlöslich [g/100g]","FIBHMWI Ballaststoffe, hochmolekular, wasserunlöslich [g/100g]","FASAT Fettsäuren, gesättigt, gesamt [g/100g]",F4:0 Fettsäure C4:0 (Buttersäure) [g/100g],F6:0 Fettsäure C6:0 (Capronsäure) [g/100g],F8:0 Fettsäure C8:0 (Caprylsäure) [g/100g],F10:0 Fettsäure C10:0 (Caprinsäure) [g/100g],F12:0 Fettsäure C12:0 (Laurinsäure) [g/100g],F14:0 Fettsäure C14:0 (Myristinsäure) [g/100g],F15:0 Fettsäure C15:0 (Pentadecylsäure) [g/100g],F16:0 Fettsäure C16:0 (Palmitinsäure) [g/100g],F17:0 Fettsäure C17:0 (Margarinsäure) [g/100g],F18:0 Fettsäure C18:0 (Stearinsäure) [g/100g],F20:0 Fettsäure C20:0 (Arachinsäure) [g/100g],F22:0 Fettsäure C22:0 (Behensäure) [g/100g],F24:0 Fettsäure C24:0 (Lignocerinsäure) [g/100g],"FAMS Fettsäure, einfach ungesättigt, gesamt [g/100g]",F14:1CN5 Fettsäure C14:1 n-5 cis (Myristoleinsäure) [g/100g],F16:1CN7 Fettsäure C16:1 n-7 cis (Palmitoleinsäure) [g/100g],F18:1CN7 Fettsäure C18:1 n-7 cis (Vaccensäure) [g/100g],F18:1CN9 Fettsäure C18:1 n-9 cis (Ölsäure) [g/100g],F20:1CN9 Fettsäure C20:1 n-9 cis (Gondosäure) [g/100g],F22:1CN9 Fettsäure C22:1 n-9 cis (Erucasäure) [g/100g],"FAPU Fettsäuren, mehrfach ungesättigt, gesamt [g/100g]","FAPUN3 Fettsäuren, mehrfach ungesättigt n-3 (Omega-3), gesamt [g/100g]",F18:3CN3 Fettsäure C18:3 n-3 all-cis (Alpha-Linolensäure) [g/100g],F18:4CN3 Fettsäure C18:4 n-3 all-cis (Stearidonsäure) [g/100g],F20:5CN3 Fettsäure C20:5 n-3 all-cis (Eicosapentaensäure) [g/100g],F22:5CN3 Fettsäure C22:5 n-3 all-cis (Docosapentaensäure) [g/100g],F22:6CN3 Fettsäure C22:6 n-3 all-cis (Docosahexaensäure) [g/100g],"FAPUN6 Fettsäuren, mehrfach ungesättigt n-6 (Omega-6), gesamt [g/100g]","F18:2CN6 Fettsäure C18:2 n-6 cis, cis (Linolsäure) [g/100g]","F18:2C9T11 Fettsäure C18:2 n-7 cis 9, trans 11 (konjugierte Linolsäure) [g/100g]",F18:3CN6 Fettsäure C18:3 n-6 all-cis (Gamma-Linolensäure) [g/100g],F20:2CN6 Fettsäure C20:2 n-6 all-cis (Eicosadiensäure) [g/100g],F20:3CN6 Fettsäure C20:3 n-6 all-cis (Dihomogamma-Linolensäure) [g/100g],F20:4CN6 Fettsäure C20:4 n-6 all-cis (Arachidonsäure) [g/100g],"FAX Fettsäuren, sonstige [g/100g]",CHORL Cholesterin [mg/100g],"AAE9 Aminosäuren, unentbehrlich, gesamt [g/100g]",ALA Alanin [g/100g],ARG Arginin [g/100g],"ASP Asparaginsäure, inklusive Asparagin [g/100g]",CYSTE Cystein [g/100g],"GLU Glutaminsäure, inklusive Glutamin [g/100g]",GLY Glycin [g/100g],HIS Histidin [g/100g],ILE Isoleucin [g/100g],LEU Leucin [g/100g],LYS Lysin [g/100g],MET Methionin [g/100g],PHE Phenylalanin [g/100g],PRO Prolin [g/100g],SER Serin [g/100g],THR Threonin [g/100g],TRP Tryptophan [g/100g],TYR Tyrosin [g/100g],VAL Valin [g/100g],"NT Stickstoff, gesamt [g/100g]"
"15 Balsamico, dunkel",Balsamicoessig,15.0,60.9,14.25,11.9775,0.0,0.0,3.006,0.0,0.012899999999999998,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825,3.3,0.0,10.05,2.4,1.8,3.6,0.0,0.0435,0.015,0.15,3.9,19.65,0.0,0.45,0.026999999999999996,0.6779999999999999,0.0036,0.0045,0.0138,0.0285,0.0,0.0,0.0,0.0,3.006,1.431,1.575,0.0,0.0,0.0,0.0,0.0,3.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50 Butter,Süßrahmbutter,50.0,1536.5,373.5,7.9,0.295,41.25,0.3,0.0,0.0,0.01215,0.0,373.5,357.0,340.5,195.5,4.1,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,13.0,4.0,9.0,0.0,0.025,0.0,0.0,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,6.0,10.65,12.5,7.25,1.025,9.95,3.0,0.05,0.021,3.5,5.0,2.5,35.5,3.0,0.0,0.0,0.01215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8255,1.703,1.043,0.602,1.307,1.497,4.7505,0.503,12.305,0.231,3.765,0.0575,0.04100000000000001,0.020500000000000004,9.1125,0.429,0.6679999999999999,0.0,7.995,0.0165,0.004,1.439,0.3545,0.2765,0.0,0.033,0.04100000000000001,0.004,0.7710000000000001,0.6765000000000001,0.3135,0.008,0.0125,0.037,0.037,2.3005,113.0,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.047
25 Cognac,Weinbrand/Brandy,25.0,229.25,55.25,16.225,0.0,0.0,0.0,0.0,7.9025,0.0,0.006500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.00025,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.5,0.0,0.4,0.375,0.0625,1.25,0.0,0.0025,0.004,0.25,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150 Cornflakes,Cornflakes gesüßt,150.0,2329.5,549.0,9.0,9.36,2.625,119.025,6.285000000000001,0.0,0.0,3.9,22.5,12.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0975,0.0975,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.015,0.135,1.11,0.36,0.12,210.0,1.335,5.1,5.1,0.0,0.0,0.0,1.2956999999999999,518.25,1627.5,123.9,3.6,15.0,59.4,114.0,0.21000000000000005,0.24,0.0,78.0,72.75,0.0,2.1,30.75,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.8400000000000002,0.24,0.6,0.0,1.095,1.095,0.0,0.0,1.935,0.0,117.075,0.0,6.285000000000001,3.7649999999999992,2.52,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26849999999999996,0.0,0.0675,0.0,0.01815,0.0,0.7034999999999999,0.0,0.0,0.0,0.6960000000000001,0.0,0.006959999999999999,1.182,0.02775,0.02775,0.0,0.0,0.0,0.0,1.155,1.155,0.0,0.0,0.0,0.0,0.0,0.01785,0.0,3.573,0.7605,0.21599999999999997,0.5175,0.165,1.9725,0.303,0.264,0.318,1.44,0.048,0.198,0.5100000000000001,1.035,0.47100000000000003,0.312,0.045,0.41850000000000004,0.43799999999999994,1.5
"500 Hühneroberkeulen, ohne Haut, ausgelöst",Hähnchenschenkel gekocht (mit Fett und Salz),500.0,6070.0,1460.0,270.5,114.3,111.6,0.0,0.0,0.0,0.0,7.5,90.0,85.0,86.5,10.0,0.0,1.85,1.85,0.0,5.6,5.6,0.65,3.1,0.75,0.395,145.0,15.0,128.0,0.7611500000000001,1.1340000000000001,69.5,49.0,7.7,1305.0,8.7,34.0,34.0,0.0,0.65,0.0,2.27,908.0,1080.0,2078.0,35.0,137.0,1122.5,0.0,4.496,7.825,0.0,300.0,80.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.65,0.0,0.0,0.0,0.0,0.1905,0.55,0.055999999999999994,18.55,0.1,4.1,0.1,0.0,0.0,39.35,0.0,3.85,1.4875,33.65,0.35,0.0,19.45,2.2,2.05,0.032,0.025,0.0785,0.035,17.2,16.5,0.0285,0.111,0.115,0.09849999999999999,0.359,0.7,650.9999999999999,51.0741,7.194249999999999,7.59055,10.697449999999998,1.5296,17.81685,6.039,3.6717499999999994,5.54485,9.19125,10.133350000000002,3.1718,4.666399999999999,4.99375,5.3172500000000005,7.72805,1.2274500000000002,4.8052,5.739199999999999,18.3
700 Karfiol,Blumenkohl roh,700.0,1036.0,245.0,641.9,16.968,1.9600000000000002,37.31,20.3,0.0,1.9180000000000001,5.46,21.0,7.0,0.0,112.0,28.0,0.0,0.0,0.0,0.56,0.56,0.0,1.4,0.0,0.42,147.0,147.0,0.0,0.37799999999999995,0.63,8.169,4.2,7.28,663.81,11.9,532.0,532.0,0.0,0.0,448.0,0.21,84.0,133.0,1960.0,168.0,98.0,343.0,0.0,2.87,2.17,4.8999999999999995,245.0,1120.0,63.0,3.5,44.1,0.0,0.42,0.0,1.4979999999999998,0.0,20.93,20.72,0.0,0.182,12.74,5.95,6.79,0.0,2.3800000000000003,2.3800000000000003,0.0,0.0,15.12,0.0,1.274,0.0,20.3,16.8,3.5,0.0,0.0,0.29400000000000004,0.0,0.0,0.0,0.0,0.0,0.0035000000000000005,0.0,0.273,0.0,0.0126,0.0077,0.0,0.0,0.046900000000000004,0.0,0.026600000000000002,0.0,0.0126,0.0077,0.0,0.9660000000000001,0.763,0.763,0.0,0.0,0.0,0.0,0.203,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216,0.0,0.77,0.0,0.0,0.0,0.0,0.343,0.77,1.1900000000000002,0.9800000000000001,0.336,0.539,0.0,0.0,0.77,0.23800000000000002,0.24500000000000002,1.05,2.716
30 Ketchup,Tomatenketchup,30.0,125.1,29.4,21.81,0.42,0.03,6.348,0.543,0.0,0.35550000000000004,0.786,21.9,10.8,0.0,130.5,0.0,0.0,0.0,0.0,0.51,0.51,0.010799999999999999,0.0345,0.0,0.0,0.5295,0.5295,0.0,0.056100000000000004,0.0276,0.4425,0.3924,0.06090000000000001,98.7,3.255,4.38,4.38,0.0,0.0,0.0,0.57,228.0,393.0,106.95,5.58,4.74,7.5,0.0,0.13620000000000002,0.03900000000000001,0.0,29.94,37.8,9.9,2.4,1.5,0.1968,0.138,0.0026999999999999997,0.018,0.0,0.0,0.0,0.0,0.0,3.03,1.3529999999999998,1.6769999999999998,0.0,3.216,3.216,0.0,0.0,6.246,0.0,0.10200000000000001,0.0,0.543,0.03,0.513,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.00078,0.0,0.006,0.0,0.00219,0.0,0.0006,0.0,0.005699999999999999,0.0,0.0,0.0,0.005699999999999999,0.0,0.0,0.005699999999999999,0.00084,0.00084,0.0,0.0,0.0,0.0,0.0048,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.0174,0.0,0.0684,0.0,0.17189999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066
1 Kidneybohnen,Kidneybohne reif,400.0,5320.0,1264.0,46.0,91.2,3.32,161.2,99.6,0.0,0.0,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,228.0,0.0,2.116,0.8759999999999999,26.84,8.24,3.12,1588.0,0.0,688.0,688.0,0.0,0.0,18.0,0.24,96.0,188.0,6560.0,426.0,680.0,1628.0,0.0,24.6,12.2,7.087999999999999,3832.0,4080.0,380.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.4,0.0,8.4,8.4,0.0,0.0,9.6,13.6,138.0,0.0,0.0,78.8,20.8,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0,0.05600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084,0.0,37.32,3.952,5.84,11.4,1.024,14.4,3.68,2.6240000000000006,4.16,7.52,6.48,1.42,5.12,4.0,5.12,3.968,1.116,2.656,4.92,14.8
1 Knoblauchzehe,Knoblauch roh,4.0,15.96,3.88,2.61652,0.242,0.0168,0.12,1.13188,0.0,0.00888,0.056799999999999996,3.6,1.8,0.0,21.36,0.4,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0030399999999999997,0.0030399999999999997,0.0,0.008,0.0032,0.068,0.024,0.006,5.6,0.12,3.24,3.24,0.0,0.0,0.56,0.0007867799999999999,0.314712,1.2,15.388384,0.5768,0.6552800000000001,5.36,0.0,0.027832,0.0352,0.1,6.12,13.6,0.4,0.12,0.24,0.0,0.00192,0.0,0.006959999999999999,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.045599999999999995,0.0264,0.0,0.008,0.008,0.002,0.0,0.08,0.0,0.04,0.968,0.16388000000000003,0.0,0.0,0.0,0.0,0.00252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023599999999999997,4.7999999999999994e-05,4.4000000000000006e-05,0.0,4e-05,4.4000000000000006e-05,0.00048,0.0,4.7999999999999994e-05,0.0,0.00043999999999999996,0.0,0.0,0.006840000000000001,0.00052,0.00052,0.0,0.0,0.0,0.0,0.00632,0.00632,0.0,0.0,0.0,0.0,0.0,0.00192,0.0,0.07424,0.01084,0.01744,0.022320000000000003,0.0,0.05,0.01204,0.00424,0.0102,0.01444,0.01204,0.00264,0.0078000000000000005,0.016,0.01084,0.009519999999999999,0.00264,0.006999999999999999,0.01072,0.03872
3 Knoblauchzehen,Knoblauch roh,12.0,47.88,11.64,7.849559999999999,0.726,0.0504,0.36,3.39564,0.0,0.02664,0.1704,10.8,5.4,0.0,64.08,1.2,0.0,0.0,0.0,0.0012,0.0012,0.0,0.0,0.0,0.0,0.00912,0.00912,0.0,0.024000000000000004,0.0096,0.204,0.072,0.018,16.8,0.36,9.72,9.72,0.0,0.0,1.68,0.00236034,0.944136,3.6,46.165152,1.7304,1.96584,16.08,0.0,0.08349599999999999,0.1056,0.3,18.36,40.8,1.2,0.36,0.72,0.0,0.00576,0.0,0.02088,0.0,0.0,0.0,0.0,0.0,0.21600000000000003,0.1368,0.07919999999999999,0.0,0.024000000000000004,0.024000000000000004,0.006000000000000001,0.0,0.24,0.0,0.12,2.904,0.49164,0.0,0.0,0.0,0.0,0.00756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070799999999999995,0.000144,0.000132,0.0,0.00012,0.000132,0.00144,0.0,0.000144,0.0,0.00132,0.0,0.0,0.02052,0.00156,0.00156,0.0,0.0,0.0,0.0,0.018959999999999998,0.018959999999999998,0.0,0.0,0.0,0.0,0.0,0.00576,0.0,0.22272000000000003,0.03252,0.052320000000000005,0.06696,0.0,0.15,0.03612,0.01272,0.030600000000000002,0.04332,0.03612,0.00792,0.023399999999999997,0.04800000000000001,0.03252,0.02856,0.00792,0.020999999999999998,0.03216,0.11616
90 Kokosmilch,Kokosmilch/Kokosnussmilch,90.0,839.7,204.3,61.2,2.4966,19.709999999999997,1.89,4.49811,0.0,0.0,0.6372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37799999999999995,0.37799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033299999999999996,0.0045000000000000005,0.5499,0.2052,0.10799999999999998,32.4,0.0,5.4,5.4,0.0,0.0,1.08,0.0495,19.8,66.6,141.02999999999997,7.829999999999999,20.88,13.05,0.6299999999999999,0.3132,0.27,0.81,166.5,421.2,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,1.89,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1936,0.0,0.0,1.5119999999999998,1.1880000000000002,8.748000000000001,3.2940000000000005,0.0,1.6740000000000002,0.0,0.5940000000000001,0.18359999999999999,0.0,0.0,1.2042,0.0,0.0702,0.0,1.1340000000000001,0.0,0.0,0.36719999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.36719999999999997,0.36719999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7397999999999999,0.0,0.26459999999999995,0.0,0.0387,0.0,0.0,0.0387,0.10799999999999998,0.1674,0.081,0.0378,0.09720000000000001,0.0,0.0,0.0702,0.0207,0.0648,0.1188,0.3996
20 körniger Senf,Senf mittelscharf,20.0,92.0,22.2,15.2,1.1019999999999999,1.392,0.588,0.9,0.0,0.34840000000000004,0.8560000000000001,0.6,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.141,0.141,0.0,0.9,0.023000000000000003,0.0,0.693,0.693,0.0,0.0,0.061399999999999996,0.35019999999999996,0.2432,0.024399999999999998,12.4,0.365,2.34,2.34,0.0,0.0,0.0,0.655,262.0,650.0,32.4,19.66,12.44,31.7,32.0,0.327,0.16200000000000003,0.0,23.5,99.0,0.3,0.84,2.4,0.33,0.008400000000000001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.33,0.21600000000000003,0.11399999999999999,0.0,0.22200000000000003,0.22200000000000003,0.0,0.0,0.5519999999999999,0.0,0.036,0.0,0.9,0.708,0.2,0.0,0.0,0.0992,0.0,0.0,0.0,0.0,0.0,0.0016799999999999999,0.0,0.05859999999999999,0.0,0.022400000000000003,0.00964,0.00678,0.0,0.794,0.0,0.0,0.0,0.44800000000000006,0.0,0.34600000000000003,0.442,0.18080000000000002,0.18080000000000002,0.0,0.0,0.0,0.0,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3726,0.045,0.067,0.0794,0.0208,0.18720000000000003,0.0592,0.03,0.042800000000000005,0.0744,0.0654,0.015,0.0424,0.061799999999999994,0.043,0.0446,0.006419999999999999,0.0294,0.0516,0.17600000000000002
100 Mais aus der Dose,"Zuckermais Konserve, abgetropft",100.0,334.0,79.0,80.2,2.71,1.94,10.84,3.59,0.0,0.151,0.72,7.0,3.0,0.0,19.0,41.0,0.0,0.0,0.0,0.13,0.13,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.04,0.11,1.57,1.2,0.17,89.0,0.76,55.1,55.1,0.0,0.0,0.0,0.3725,149.0,0.0,188.0,2.9,18.0,56.4,0.0,0.26,0.3,0.0,33.5,92.5,0.0,0.6,2.4,0.02,0.013000000000000001,0.019,0.075,0.024,0.095,0.0,0.095,0.0,0.76,0.3,0.46,0.0,5.46,5.46,0.0,0.0,6.22,0.0,4.52,0.0,3.59,2.61,0.98,0.0,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0636,0.0,0.018,0.0,0.676,0.0,0.0,0.0,0.676,0.0,0.0,0.696,0.0164,0.0164,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0,0.0178,0.0,0.973,0.292,0.106,0.156,0.038,0.485,0.106,0.063,0.084,0.303,0.08,0.075,0.11899999999999998,0.22400000000000003,0.132,0.098,0.022,0.11,0.129,0.43
80 natives Olivenöl extra,Olivenöl,80.0,2956.8,719.2,0.0852,0.0,79.92,0.0,0.0,0.0,0.0,0.0,29.6,15.2,0.0,150.4,57.68,0.0,0.0,0.0,16.163999999999998,16.163999999999998,0.2168,1.2968000000000002,0.0432,0.024,46.4,46.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029760000000000003,1.192,80.0,1.048,0.1852224,0.6479976,1.9984000000000004,0.0,0.1053672,0.035752,0.10608000000000001,3.7,1.1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,0.08,2.4,0.32,0.08,0.08,59.76,0.0,0.0,2.64,56.8,0.32,0.0,5.92,0.56,0.56,0.0,0.0,0.0,0.0,5.36,5.36,0.0,0.0,0.0,0.0,0.0,0.8,0.054959999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
